repo,has_travis,has_gitlab_ci,has_appveyor,has_pkgdown,has_gitignore,has_rbuildignore,has_rproj
business-science/tidyquant,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
christophergandrud/networkd3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
cpsievert/ldavis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
daattali/addinslist,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
daattali/shinyjs,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dkahle/ggmap,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dmlc/xgboost,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dreamrs/esquisse,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dselivanov/text2vec,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
facebook/prophet,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
greta-dev/greta,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
henrikbengtsson/future,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
hms-dbmi/upsetr,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
hrbrmstr/ggalt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
hrbrmstr/hrbrthemes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
hrbrmstr/waffles,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
igraph/igraph,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
imbs-hl/ranger,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
indrajeetpatil/ggstatsplot,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
jimhester/lintr,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
jokergoo/circlize,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
joshuaulrich/quantmod,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
jrnold/ggthemes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
juliasilge/tidytext,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
karthik/wesanderson,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
kassambara/ggpubr,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
kentonwhite/projecttemplate,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
leeper/rio,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mkearney/rtweet,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
milesmcbain/datapasta,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mlflow/mlflow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
modeloriented/dalex,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
njtierney/naniar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
opencpu/opencpu,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
